season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2021-2022,IND,6,0.14781253969464136,0.397925806942399,0.7362320510192025,2.220446049250313e-16,0.0,0.10749597608645652,0.20556449758565187,0.41112899517130375,0.5985283973327202,0.03504484509849999,4349.0,111.13477851083883,112.72789820923657,-1.593119698397743
2021-2022,LAC,9,0.19854755251721481,0.3242910254178726,0.5526160571594596,0.07704254863398438,0.4714045206338969,0.240262052268034,0.18276009399700918,0.36552018799401836,0.5091860713522751,0.0775842468093061,9362.0,109.08121212121213,112.70343434343435,-3.62222222222222
2021-2022,LAL,8,0.1586078924535644,0.28319661343102354,0.512665592230296,0.042059039090454886,0.2499999999375,0.16651441331709294,0.19488428745432398,0.36825010150223303,0.5103532277710109,-0.020191547209128715,4926.0,111.28022388059702,110.81194029850747,0.4682835820895548
2021-2022,MEM,9,0.18029460117541715,0.30068268958192773,0.5224269933604986,0.08124608189939937,0.2721655268851868,0.23745788946553759,0.1873804971319312,0.3569152326322499,0.5151597924064465,0.08161837191090006,10983.0,117.3329401485365,110.01227610310178,7.320664045434711
2021-2022,MIA,9,0.18049837550470077,0.31903688487846754,0.5844151248691527,0.1410564952150909,0.11111111108641974,0.26794864628170006,0.18178769075968473,0.34579909441556267,0.4982391413717927,0.3429004801129438,11926.0,114.26803245436106,103.97732251521299,10.290709939148073
2021-2022,MIA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4180.0,111.1,98.2,12.899999999999991
2021-2022,MIL,6,0.11678297435231097,0.4342307443609714,0.8372004410677992,3.3306690738754696e-16,0.0,0.11960300036589826,0.19950603732162459,0.39846322722283206,0.5795828759604831,-0.13866909505822667,7288.0,117.86566303651504,109.18212684176811,8.683536194746935
2021-2022,MIL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3680.0,116.7,108.9,7.799999999999997
2021-2022,MIN,7,0.17801066038372967,0.3599744990867045,0.6628219628529681,0.003088029950252022,0.4285714284489796,0.15323186666517127,0.18881997330611605,0.37591269529716576,0.5350553505535056,0.009898480383343476,12737.0,117.82152140672784,111.27335626911317,6.548165137614674
2021-2022,MIN,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4495.0,120.7,107.8,12.900000000000006
2021-2022,NOP,9,0.20404318939089458,0.33100577262852704,0.5830865528548631,0.09318101847096258,0.5555555554320988,0.28430849487225085,0.19117908589720792,0.3672416859327761,0.5358349635425931,0.07544358519376299,11246.0,116.87955145118735,109.09753737906773,7.7820140721196225
2021-2022,NOP,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3445.0,114.9,102.3,12.600000000000009
2021-2022,NYK,10,0.18909463004273774,0.3324700624720436,0.5653377755286212,0.18141495224724086,0.19999999996,0.34491790951247026,0.17890713121945107,0.3541797217696453,0.5243138237874421,0.38043774563662486,15958.0,112.49197733373099,113.27754249925441,-0.7855651655234226
2021-2022,NYK,6,0.2,0.49999999995000016,0.8024347825284524,-2.220446049250313e-16,0.0,0.13373913043478267,0.20000000000000004,0.4000000000000001,0.6000000000000002,-0.21734692567623892,8625.0,110.37304347826087,116.18052173913041,-5.807478260869544
2021-2022,OKC,7,0.23148170468356083,0.4348045622334616,0.7643874946429641,2.220446049250313e-16,0.0,0.2018788252597619,0.20458319495184327,0.38923945533045506,0.5738957157090668,0.18861331367985693,6022.0,100.35232558139533,120.48317373461012,-20.130848153214785
2021-2022,OKC,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2665.0,95.7,113.3,-17.599999999999994
2021-2022,ORL,9,0.18273762952137812,0.3438664792878342,0.5862532182155317,0.09721894348970361,0.33333333325925923,0.27476983989698045,0.1746237675142709,0.3460473966441792,0.505275903822868,0.2056270900595013,11562.0,105.22239627434377,108.86689246401355,-3.6444961896697805
2021-2022,ORL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4420.0,102.3,103.5,-1.2000000000000028
2021-2022,PHI,8,0.24459010136713136,0.3923453103225525,0.6446812003932249,0.01278811602426435,0.499999999875,0.26778974007034406,0.19722055417345802,0.39444110834691604,0.5811958479883332,0.035261815861874955,11657.0,115.89262597296188,108.55997541990989,7.332650553051991
2021-2022,PHI,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3300.0,123.3,103.0,20.299999999999997
2021-2022,PHX,9,0.16675681584977436,0.32382911721007085,0.6098937361749942,0.19765216800366742,0.11111111108641974,0.3090808479783235,0.1988093193657336,0.37557959814528596,0.5348331329784188,0.47475172218582407,17469.0,118.26972299168973,108.695567867036,9.574155124653728
2021-2022,PHX,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,7720.0,118.29999999999998,110.20000000000002,8.099999999999966
2021-2022,POR,7,0.17655377493336022,0.37372195173494704,0.6642100385764814,0.014212445071198863,0.4285714284489796,0.15585127201565552,0.20643835616438358,0.38054794520547947,0.5358904109589042,-0.12393467133155608,7300.0,113.138167509837,109.11157953906688,4.026587970770123
2021-2022,POR,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,2880.0,113.90000000000002,112.3,1.6000000000000227
2021-2022,SAC,11,0.12452401706899552,0.2434163352367388,0.4386412064189879,0.22100432603287587,0.09090909089256198,0.30012865061139105,0.22139928580875545,0.3773310408676101,0.5090596481946832,0.043468160935210054,7561.0,108.13494623655913,119.42186379928314,-11.286917562724014
