season,team,nr_hat_intact,drop_star,drop_role,drop_connector,RRS
2020-2021,OKC,1.1182165765319985,-0.32444672646356176,-0.5233756171930302,-1.9912480289484225,1.8455528721712797
2020-2021,ORL,1.0420742320003882,-3.666001110570005,-1.7938229760564584,-2.2144989410800324,3.4524694383411956
2020-2021,PHI,3.5843947673154655,-1.1932702197752847,-1.5152009077246125,-1.5054971506046653,1.3917716691914641
2020-2021,PHI,5.953978739598742,1.2251254715508537,1.2251254715508537,1.2251254715508537,0.7942687077278457
2020-2021,PHX,7.561493572650981,0.6157374247831688,-0.11687328247228201,0.2717597176073161,0.9660330792343816
2020-2021,PHX,6.173742023193309,1.2690781282697667,1.2690781282697667,1.2690781282697667,0.7944726883320942
2020-2021,POR,3.135753000681156,-0.6743888700386247,-1.6530451368312455,-1.0427559047974597,1.3581399737175652
2020-2021,POR,4.0014735517046525,-1.4162496817608723,-0.8697176550378485,-1.4162496817608723,1.3083274189267966
2020-2021,SAC,5.295905208893023,-1.357117813918105,-1.0656803988921215,-2.2022324623199676,1.2910523845361115
2020-2021,SAC,4.8981273898041415,1.8715555626482283,1.8715555626482283,-2.122837873240906,0.8897576974335202
2020-2021,SAS,3.5014489636226713,-0.5004934726492927,-0.6326691943556435,-0.6326691943556435,1.1680568729386172
2020-2021,SAS,4.2246509960748195,0.8792599228460696,0.8792599228460696,0.8792599228460696,0.7919232033921381
2020-2021,TOR,0.7065017910499041,-1.695626829613408,-1.4289708252995865,-1.583107677447047,3.2179945416929603
2020-2021,UTA,8.108613199279997,0.8935208035007598,-0.2628943800563377,-0.5955656540209873,0.9985588803246273
2020-2021,UTA,3.896297111821844,-1.5503019039981494,-0.13197137176667173,-1.3023182903129458,1.2552702108190548
2020-2021,WAS,-0.17172108739458647,-1.3421779469169626,-1.6436913301567153,-1.3988815622887358,9.462102891824513
2021-2022,ATL,3.7653281033053365,0.5980737334317516,-0.3325103893731298,-0.23761972652683072,0.997526891199657
2021-2022,BKN,1.0223571001165546,-2.201746209391649,-0.5935990766778683,-0.28837013482664986,2.004444235723434
2021-2022,BOS,4.84755096746759,-1.3033386236823645,-0.20625064532392656,-0.15729850517190513,1.114596971711242
2021-2022,BOS,4.797605271160658,0.9938507778632379,0.9938507778632379,0.9938507778632379,0.7928875742632502
2021-2022,CHA,5.351203708272663,0.222864204005087,-1.0301607004066922,0.23805331480900538,1.03545226182334
2021-2022,CHA,4.364954456664895,1.715903653047599,1.7042176177711497,-2.012245793793828,0.8925110579294818
2021-2022,CHI,2.801761921407011,-0.5486285248548111,-1.8367959952030501,-0.869930729224853,1.3871603963717447
2021-2022,CLE,3.4297635296858733,-1.3704429442160437,-0.9930673440878754,-1.8888388387858779,1.4131586735037132
2021-2022,DAL,3.1768274151268643,0.16757747705456394,-0.9276746148775099,0.23353968094859656,1.0552324369334711
2021-2022,DAL,4.276975587406859,0.8897248411124772,0.8897248411124772,0.8897248411124772,0.7920219919600352
2021-2022,DEN,6.674604253383078,0.1954565763580307,-0.1727742976869271,-1.239948191642081,1.0607818092449128
2021-2022,DEN,6.51385186685157,1.3371000970014197,1.3371000970014197,1.3371000970014197,0.794761243336205
2021-2022,DET,3.3275469649903595,0.36671808933630246,0.23944987928675054,0.39732792410759554,0.8995061104955192
2021-2022,DET,3.1995985754874035,1.5250168977085452,1.5232110088141253,-2.2393776126651384,0.9157605184592327
2021-2022,GSW,3.40927053367337,-1.227739253432532,-0.7444135290321285,-0.45371723130927455,1.2371141321312233
2021-2022,GSW,4.358078703971522,0.9059454644254101,0.9059454644254101,0.9059454644254101,0.79217042729694
2021-2022,HOU,3.9371823491678986,0.18132792611149062,-1.0031851772119018,-1.2214788472211908,1.1729508621960534
2021-2022,HOU,4.337148867438706,0.9017594971188467,0.9017594971188467,0.9017594971188467,0.7921326527341473
2021-2022,IND,1.3715657458255124,-2.2739959058600285,-2.79845630442616,-3.0872556923052374,2.981619199276528
2021-2022,LAC,2.199548923249964,0.4852607629961083,-0.48503936828509575,-1.010757510807807,1.1530733393260724
2021-2022,LAL,-1.087160071569067,-1.8528450780177157,-2.1112340632427156,-0.16911394705560845,2.2661106260332335
2021-2022,MEM,1.7145740577884627,-0.4606427921437315,-1.2248249640069022,-1.8991717234091303,1.6964897965758672
2021-2022,MIA,2.879638582523496,-0.27368973102113614,-0.4311206700279757,-1.261837629402076,1.2275708405285106
