season,team,assort_salary_obs,assort_mu_null,assort_sd_null,assort_z,p_left,salary_gini,top1_share,top2_share,top3_share,n_nodes,n_edges
2021-2022,WAS,-0.1399065020877565,-0.07355487603897963,0.14917866596394627,-0.44477959110328047,0.41832669322709165,0.5009051592276602,0.31145832439610677,0.603766009741687,0.7241858302430502,9,29
2021-2022,POR,-0.022696620712000962,-0.14897144804864365,0.24705279044711118,0.5111248778372957,0.7928286852589641,0.5171321565894197,0.6830716786286546,0.8914051638718209,0.959787470678364,4,6
2021-2022,DET,-0.13482607572500083,-0.08357118324663326,0.12151119544862576,-0.4218120996105074,0.4302788844621514,0.33698189794860356,0.30515426259276024,0.4777296809672254,0.6310523635103451,8,25
2021-2022,OKC,-0.10023002849871504,-0.11033879713726452,0.1214079230392032,0.08326284138215026,0.6693227091633466,0.3816427646644622,0.34108309751831334,0.5511876750717971,0.7440127300637229,7,20
2021-2022,CHI,0.01832022828640022,-0.0826458299918906,0.1267600122949211,0.7965134781099752,0.8007968127490039,0.4020344374397252,0.24728580526786864,0.475549625515132,0.6610139794660335,8,26
2021-2022,ATL,0.05720428862689105,-0.049412163557322544,0.13890592822442033,0.7675442909244381,0.8207171314741036,0.34995413438504547,0.1908656322380086,0.36077753745858365,0.510150640949199,11,42
2021-2022,CLE,-0.049923024022152145,-0.11480214741057938,0.13362298525551014,0.4855386463965552,0.7410358565737052,0.33972285850016054,0.33872097267114515,0.6044629705998664,0.7412242730836226,6,15
2021-2022,LAC,-0.09876816860643645,-0.0792766308297187,0.1195470119666985,-0.16304495993716173,0.4900398406374502,0.5169046795485349,0.4337478891085331,0.6060334867957208,0.7463418361948442,8,26
2021-2022,MEM,-0.14583020152967682,-0.08289588596919915,0.11052605954295863,-0.5694070323389817,0.2908366533864542,0.24506336384366753,0.2112845276366688,0.36226241201253306,0.4852369926457806,9,33
2021-2022,IND,-0.503032955405183,-0.10865511836751951,0.49214331208983436,-0.801347549279863,0.17928286852589642,0.2786291131231889,0.505244296094578,0.9126993735902054,0.9999999999999999,3,3
2021-2022,SAC,0.21565288007427358,-0.06372966840076151,0.14141508356707982,1.975620573335169,0.9800796812749004,0.44107039179231056,0.2906066472055467,0.500356026361958,0.6916568598276336,9,28
2021-2022,LAL,-0.18701133316712396,-0.09019344456739657,0.10818979809386929,-0.8948892622548825,0.18725099601593626,0.5801700002086927,0.3400862328946001,0.6568601088196966,0.9288709658200964,8,25
2022-2023,SAC,0.08754090248913264,-0.10466794336674273,0.12122427400335069,1.585564008826835,0.9043824701195219,0.2922797995080648,0.29176761498461734,0.4696056487742475,0.6460236026061673,7,20
2022-2023,ATL,0.15691468260915992,-0.08266475059135187,0.14240163491100877,1.6824205238249719,0.9203187250996016,0.3788711153512472,0.27305493342800524,0.4460305762934541,0.5837257905314429,9,32
2022-2023,DEN,-0.050748372742271966,-0.10988504438852134,0.1083240350143973,0.5459238260316793,0.796812749003984,0.33057585549627283,0.2394401816348054,0.46875725341868685,0.6927356496531647,7,20
2022-2023,CHI,0.002296963172963902,-0.09151905066575551,0.123650609765668,0.7587185701430139,0.8207171314741036,0.5039161644434205,0.3201123353413519,0.5556889195155708,0.7455308554801426,9,31
2022-2023,ORL,0.3868216251035295,-0.06976118626223822,0.13835765756150759,3.300018368428878,0.9960159362549801,0.3543029033776185,0.22124451514733812,0.41097844783429777,0.5852923082534126,9,33
2022-2023,POR,-0.2579065942533043,-0.1549533508043479,0.18645497616923878,-0.5521614148581868,0.3346613545816733,0.34102188752067464,0.41162924994747896,0.6278592859977512,0.8308525802636988,5,9
2022-2023,NYK,0.02335403253554228,-0.051830957294366785,0.12939956245319387,0.581029706782083,0.7250996015936255,0.4659374269203118,0.24467165973322436,0.45428940906321513,0.6046694471014259,11,44
2022-2023,PHI,-0.022384378968401196,-0.10432736989980983,0.143917114823886,0.5693762762801615,0.8087649402390438,0.47845395933079515,0.2890893745196766,0.5473265095026723,0.8008257437967123,8,25
2022-2023,BOS,-0.1511579093972189,-0.10856468582318646,0.10209319775142221,-0.41719942672124893,0.43824701195219123,0.2418619207433116,0.19235964050262735,0.37451113491977484,0.5424594553583002,8,26
2022-2023,HOU,-0.05215928430481177,-0.1001506017910072,0.15333318807050558,0.31298714968430763,0.7330677290836654,0.34281204161561896,0.2769360997690791,0.5374704529515958,0.636472240073233,8,26
2022-2023,IND,-0.13033093263079648,-0.0820495674735541,0.1287383185686607,-0.3750349211799921,0.46215139442231074,0.48070398501296185,0.40841269476552683,0.6550447239239304,0.7493757759092957,8,26
2022-2023,CLE,-0.18433198050374955,-0.10487936493917603,0.12451127010955314,-0.638115854851259,0.26693227091633465,0.36820079222084484,0.3222429197558606,0.5307216192056916,0.7266529864333946,7,21
2022-2023,TOR,-0.22096695066782976,-0.11528585210142145,0.09521688200931874,-1.1098987525769375,0.08366533864541832,0.4064303987482333,0.3138613732433807,0.5020081726896855,0.6569968655982767,8,24
2022-2023,NOP,0.0649015562488893,-0.09843172096442944,0.12062077933617545,1.3541056367916648,0.9163346613545816,0.4656490355071905,0.30395427124661806,0.5925643258582649,0.7266081608184618,8,26
2022-2023,GSW,0.08955258219562581,-0.09298062234131654,0.11089617042677426,1.645982939126565,0.9083665338645418,0.43404665069470516,0.2823751586861872,0.520870076384191,0.7183433029005606,8,27
2022-2023,UTA,0.17045786605199192,-0.13911397621405444,0.1862519630636261,1.6621131781590543,0.9282868525896414,0.26168978686901806,0.21711928449274065,0.4339155744426232,0.6094532262688753,7,17
2022-2023,OKC,0.4196470588823304,-0.08585800297744595,0.1556883527689362,3.2469035279088487,0.9880478087649402,0.5186342913527856,0.48241010002701545,0.7208203353808802,0.818935422127388,7,19
2022-2023,MIA,-0.09814906931023175,-0.0711862911010351,0.11890581954872624,-0.2267574313143489,0.5179282868525896,0.509561367824521,0.3266105114678297,0.5898865162206415,0.835654210136682,8,24
2022-2023,MIN,0.13217778858550427,-0.08889337746348652,0.17858437262924942,1.237908797921228,0.8685258964143426,0.38265953938472,0.32805121489783934,0.618813228904199,0.8137236569919536,6,14
2022-2023,MIL,-0.19945838624203407,-0.11076823298569814,0.14562001630247368,-0.6090519387946898,0.3147410358565737,0.4561384802043011,0.39939217373159136,0.7158140372542336,0.846527420095444,6,15
2022-2023,DET,-0.12225395512457853,-0.11249492934647848,0.12942365219754123,-0.07540372731256804,0.5537848605577689,0.29278200667293075,0.2668462566998202,0.4374640678889635,0.5815037189223069,8,22
2022-2023,SAS,0.022045824562132502,-0.11503199059845673,0.20954564630404723,0.6541668489818758,0.7649402390438247,0.2141506083457207,0.29724413770658636,0.5577096318695647,0.785068065615467,5,10
2022-2023,DAL,-0.3205908841657933,-0.09915967512020663,0.1473525140916505,-1.5027311234598997,0.01195219123505976,0.28983414469005925,0.29701733578289913,0.5801400702915831,0.7297458049119852,6,13
2022-2023,MEM,-0.14488726168448943,-0.09106778715520171,0.10737361172210123,-0.5012355798236579,0.3545816733067729,0.45467406539743305,0.30892902662442756,0.5002508701854448,0.6603364967854006,9,30
2022-2023,LAC,-0.25351052888274966,-0.10196698356498249,0.1550778538374209,-0.9772094568489516,0.13545816733067728,0.4944329579955327,0.3730449277249185,0.746089855449837,0.8898217469541206,6,14
2022-2023,WAS,-0.13573772480296603,-0.07837850262815971,0.124895883698564,-0.45925630594233763,0.44223107569721115,0.5021508256682596,0.3947492118355198,0.7033430064071882,0.8219157578726539,7,21
2022-2023,LAL,-0.21328115588082308,-0.0769117686137576,0.14100769495253798,-0.9671059959739523,0.1752988047808765,0.5501692682809235,0.34232027368757645,0.6346547081623246,0.876166633195342,8,22
2023-2024,DEN,0.2882820548342629,-0.08798371275990133,0.13063863090470818,2.880202930698378,0.9840637450199203,0.46659244090734475,0.2861747119869294,0.48955220517944226,0.6902454213089015,9,31
2023-2024,OKC,0.2443872726127752,-0.10741087692647042,0.1338857838473136,2.6275989834771725,0.9760956175298805,0.48227339170688566,0.4209076472254879,0.613514424828446,0.7444506115032571,8,24
2023-2024,HOU,-0.2126589107221319,-0.09249644641403396,0.12212113874882778,-0.9839612170276405,0.1593625498007968,0.38822682158370503,0.36730145972318334,0.5709753186233028,0.6600094884162679,8,25
2023-2024,SAC,0.025330352531360987,-0.10505994378355288,0.11071652294837482,1.1776950074173895,0.8764940239043825,0.42659925871173215,0.2627003224269842,0.5092836068217281,0.6462743203743637,9,31
2023-2024,BOS,0.3010937586301308,-0.08121886722079424,0.13967524798683262,2.737153728819341,0.9920318725099602,0.35374269856477847,0.214773463526093,0.42462060969999293,0.6145637340745218,8,25
2023-2024,MIL,-0.031300958941952804,-0.08493627935205077,0.1262308923744448,0.42489852841249764,0.6972111553784861,0.43655700806887965,0.267252325285651,0.534504650571302,0.7061980730170774,8,25
2023-2024,MIN,-0.032554937131403755,-0.06840355630633342,0.1297990182367224,0.2761855957149872,0.6772908366533864,0.39673588754426214,0.2814584225362029,0.5287038576032368,0.6959313496271856,8,28
2023-2024,WAS,-0.08271194482374172,-0.11808633629191614,0.18292390818364823,0.193383094749211,0.6852589641434262,0.36665985753903474,0.32832284860416533,0.6340780550605863,0.8014960158053078,6,15
2023-2024,LAC,0.0845622015652411,-0.0780055283440626,0.13981714305601609,1.1627167195382675,0.852589641434263,0.47125531974696716,0.25973992478141394,0.5194798495628279,0.7225398408953613,9,35
2023-2024,IND,-0.22935282734551168,-0.07800126321886734,0.18347537638305447,-0.8249148583876292,0.2151394422310757,0.46116943642035213,0.43979208166207934,0.6832285894805926,0.7634968308628793,7,18
2023-2024,NOP,-0.08027090264032956,-0.10193250448175335,0.12389338338370813,0.17484066743367568,0.6653386454183267,0.3282931344425385,0.24721100142351266,0.48201245900334894,0.7156273165586273,7,20
2023-2024,CHI,0.03219934590917729,-0.10331341422284805,0.10218160166190368,1.3261953025595263,0.896414342629482,0.4302010969038927,0.30828247759689587,0.528351128859075,0.6708457267507896,9,33
2023-2024,SAS,-0.1413757899525096,-0.06322816726995002,0.1374424851778819,-0.5685841796400781,0.3426294820717131,0.33564073543679485,0.298359387367929,0.47977203910680033,0.6273977726755671,8,25
2023-2024,LAL,-0.15118669063797166,-0.12158116607702596,0.11636826628133651,-0.25441235404650797,0.5418326693227091,0.4421173489694615,0.3416591080279016,0.6330298127334029,0.7572402750338829,7,20
