season,team,salary_gini,salary_top1_share,salary_top2_share,salary_top3_share,salary_assortativity,n_salary_matched,n_players_thresholded
2022-2023,ATL,0.29233583881125086,0.3309068761782534,0.5405307380031952,0.7073993334032556,0.03654367843224581,6,6
2022-2023,BOS,0.12739992421390678,0.25305201602263083,0.49267506149803847,0.7136136168183432,-0.24980857645339183,5,5
2022-2023,CHI,0.37850386363801114,0.3874898211652452,0.6726507424869654,0.9024507523432967,-0.10840261562023018,5,5
2022-2023,CLE,0.3146052284184234,0.41024617822947895,0.6756595805048282,0.7940445081023744,-0.2581853723654524,5,5
2022-2023,DEN,0.2418062700489747,0.24338014827881055,0.47647061184497624,0.7041345524359462,-0.06909410917035799,6,6
2022-2023,GSW,0.24327404324997043,0.307956870316536,0.5680581794486903,0.7834214468559106,-0.1778451768945295,5,5
2022-2023,HOU,0.31435767337430887,0.35362574780641204,0.6863077475538286,0.8127252894858938,-0.23717638380506811,5,6
2022-2023,IND,0.4993120925955514,0.5272749445462582,0.845685442467943,0.9090603740824748,-0.19994135669203142,5,5
2022-2023,MIA,0.32332975092116206,0.3469086331956661,0.6265466600048848,0.8875882731388278,-0.21698136399362186,5,5
2022-2023,NOP,0.4324310895626386,0.3936599311727331,0.7674471254378763,0.941051156821092,0.09639189230197279,5,5
2022-2023,NYK,0.3121626141702903,0.33938505456571577,0.6301466874081527,0.8387394499325906,0.18870885745167423,5,5
2022-2023,OKC,0.4676186401155191,0.5255616384027803,0.7852976470343422,0.8921891191234173,0.39446790422604444,5,5
2022-2023,ORL,0.1706262153246813,0.2751678523899579,0.5111451318637703,0.7279440458679795,-0.12646385403179283,5,5
2022-2023,PHI,0.3621120079246962,0.29934805797479574,0.5667490476603348,0.829244006563965,-0.252292015513452,6,6
2022-2023,POR,0.2021050773842743,0.4190832308378724,0.6392288646180277,0.8458980593126486,-0.24635832674781805,4,5
2022-2023,SAC,0.21701729604775988,0.33828911004107803,0.544482899524263,0.7490301814431786,0.1519495912131605,5,5
2022-2023,TOR,0.268136956366094,0.3264043187975334,0.522070090831182,0.6832526479817241,-0.281419024388979,6,6
2022-2023,UTA,0.05741510100547013,0.38656324873302256,0.6995594027751826,1.0,-0.5,3,5
2023-2024,ATL,0.41833911358570725,0.4638320698173647,0.702507924516515,0.9133753099205857,-0.302916785479657,5,5
2023-2024,BOS,0.18919192233748192,0.22250688491404189,0.4399100688859919,0.6366925401538271,0.46363299510674666,6,6
2023-2024,CHI,0.2874194740399739,0.38559486609827287,0.635267798061326,0.7850715518462228,0.00889577072246893,5,5
2023-2024,CLE,0.24939771989268014,0.307635128403905,0.6076419025691927,0.7885758044836941,0.03255048848705827,5,5
2023-2024,DEN,0.29926137577313555,0.30362078210842536,0.519396778239006,0.7323248557131079,-0.16151458876028135,6,6
2023-2024,HOU,0.4076713008133789,0.47345548292887396,0.7359932504025405,0.8507592409550114,-0.25217959780689886,5,5
2023-2024,IND,0.4796253220031389,0.5230789087227953,0.8126168703244709,0.892796247201507,-0.19662550602896997,5,5
2023-2024,LAC,0.28243376709093654,0.30740062476435215,0.6148012495287043,0.8551215170147111,-0.24863705414160675,5,5
2023-2024,LAL,0.2882659510641975,0.35722208881820317,0.6618650774278644,0.7917334747674389,-0.24298650944770772,5,5
2023-2024,MIL,0.3934806547023175,0.30499806710169663,0.6099961342033933,0.8059389082244061,-0.07782369116096884,6,6
2023-2024,MIN,0.3254831043920527,0.3450817800052143,0.6482167654935995,0.8532458425893805,0.0716917310218524,5,5
2023-2024,NOP,0.2018285077399014,0.27311101092476264,0.5325123445101443,0.7906027593645463,-0.22052223939922663,5,5
