season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating,salary_gini,salary_top1_share,salary_top2_share,salary_top3_share,salary_assortativity,n_salary_matched,n_players_thresholded
2020-2021,MEM,6,0.1999999999999999,0.4999999999500001,0.8704186684098697,-2.220446049250313e-16,0.0,0.1450697780828185,0.2,0.4,0.6000000000000001,-0.1728965612807399,7285.0,117.12958133150308,107.69574468085108,9.433836650651998,0.3101692858475708,0.30270216165667685,0.5327558045157512,0.7245700922999432,-0.18952001006783356,6.0,6.0
2020-2021,MIA,8,0.2141658004112951,0.3810755990400841,0.6299189360686852,0.0772462117612108,0.499999999875,0.2716841399487992,0.2151651834694624,0.416554918932098,0.597586248933317,0.0956943114345009,8203.0,114.94793201133145,107.1087818696884,7.83915014164306,,,,,,,
2020-2021,MIL,7,0.2289479358911751,0.4367617338707596,0.8046761134658023,0.0154797077799905,0.4285714284489796,0.2320406101140354,0.2000673627484001,0.3999663186257999,0.5823509599191647,0.0457261649014748,11876.0,119.74301856335757,108.26658595641644,11.476432606941104,0.292943964582863,0.3234094822314987,0.5927704597981494,0.8459669242450505,0.12950473458137815,5.0,5.0
2020-2021,MIL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,5705.0,118.5,108.2,10.299999999999995,0.292943964582863,0.3234094822314987,0.5927704597981494,0.8459669242450505,0.12950473458137815,5.0,5.0
2020-2021,MIN,9,0.1999575922100319,0.320354105925539,0.5213449484217176,0.017245736018463,0.3333333332592592,0.2328086451926752,0.1735640571249869,0.3440008339414156,0.5071406233712081,-0.0340067312562485,9593.0,112.54950634696756,110.32082745651152,2.228678890456038,,,,,,,
2020-2021,NOP,11,0.1602257562142744,0.2990861149417018,0.5592240866899656,0.2741383319638288,0.0909090908925619,0.3828194593101543,0.1801747056589441,0.3589061906570452,0.5199392328142802,0.5524779749221431,13165.0,118.47743589743588,113.48575091575093,4.991684981684969,0.23147164431570602,0.31149563582148104,0.5987002457223065,0.7763281655345269,-0.19770993105756737,5.0,5.0
2020-2021,NOP,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,6300.0,117.5,114.7,2.799999999999997,0.23147164431570602,0.31149563582148104,0.5987002457223065,0.7763281655345269,-0.19770993105756737,5.0,5.0
2020-2021,NYK,10,0.1687226163650674,0.3016761029163743,0.5296877379245615,0.2730501280700504,0.19999999996,0.3212719799040878,0.1896551724137931,0.3728591002511989,0.5336263987211691,0.369345483078943,17516.0,111.09991606043648,107.99278119753777,3.107134862898718,0.37719775741951106,0.4318754125809786,0.6199756637062483,0.7517547909207722,-0.23847786470214954,6.0,6.0
2020-2021,NYK,6,0.1999999999999999,0.4999999999499999,0.8348837208467441,2.220446049250313e-16,0.0,0.1391472868217054,0.2,0.4,0.6000000000000001,-0.2405649300546815,9460.0,108.06627906976745,110.19593023255814,-2.129651162790708,0.37719775741951106,0.4318754125809786,0.6199756637062483,0.7517547909207722,-0.23847786470214954,6.0,6.0
2020-2021,OKC,9,0.1943966207626206,0.3043235351397949,0.5241360702153952,0.1399334668917175,0.1111111110864197,0.2177998894416806,0.1751954513148543,0.3503909026297086,0.4977493484956172,0.019837391279576,8442.0,99.92462039045552,115.27066160520609,-15.346041214750542,,,,,,,
