Team,PG,SG,SF,PF,C,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
NOP,Eric Bledsoe,Naji Marshall,Brandon Ingram,Zion Williamson,Steven Adams,113,16,-12.6,48,114.2,44,54.6%,97,8.8%,15,18.5%,82,23.5,7,126.8,21,58.8%,4,8.0%,97,14.8%,2,28.9
NYK,Derrick Rose,Immanuel Quickley,Alec Burks,Julius Randle,Taj Gibson,113,57,+5.9,6,95.6,2,42.3%,86,10.6%,17,18.8%,90,25.5,97,89.7,98,42.7%,62,14.0%,69,21.2%,62,14.6
PHX,Cameron Payne,Devin Booker,Mikal Bridges,Cameron Johnson,Deandre Ayton,113,56,+5.6,80,123.0,75,59.0%,68,12.4%,87,32.0%,24,14.3,28,117.4,34,56.2%,31,11.9%,63,22.0%,30,19.6
IND,Caris LeVert,Edmond Sumner,Doug McDermott,Oshae Brissett,Domantas Sabonis,112,82,+16.1,56,116.1,63,57.5%,21,16.1%,13,17.8%,87,24.7,88,100.0,96,44.0%,75,15.3%,13,29.5%,13,24.0
OKC,Theo Maledon,Sviatoslav Mykhailiuk,Kenrich Williams,Aleksej Pokusevski,Moses Brown,111,3,-29.0,4,92.8,13,49.5%,14,17.1%,23,20.3%,17,13.0,17,121.8,34,56.2%,15,10.0%,17,28.6%,49,16.3
LAL,Alex Caruso,Talen Horton-Tucker,LeBron James,Kyle Kuzma,Montrezl Harrell,111,65,+8.0,21,104.5,14,49.5%,5,18.9%,65,27.3%,76,21.9,93,96.5,69,51.6%,99,23.5%,12,29.6%,51,16.1
WAS,Russell Westbrook,Bradley Beal,Deni Avdija,Rui Hachimura,Robin Lopez,111,25,-8.8,53,115.3,41,54.2%,54,13.5%,88,32.1%,89,25.0,11,124.1,14,60.2%,72,15.2%,9,31.0%,62,14.6
SAS,Dejounte Murray,Patty Mills,Devin Vassell,Rudy Gay,Drew Eubanks,111,7,-21.5,9,100.0,5,47.2%,91,9.9%,47,24.2%,6,10.4,18,121.5,33,56.4%,5,8.4%,81,19.2%,8,25.5
POR,Anfernee Simons,Gary Trent Jr.,Rodney Hood,Carmelo Anthony,Harry Giles,111,28,-6.4,16,102.7,55,56.2%,54,13.5%,0,9.4%,1,6.3,59,109.1,65,52.0%,88,17.3%,24,27.6%,37,18.4
LAC,Reggie Jackson,Luke Kennard,Paul George,Marcus Morris,Ivica Zubac,111,2,-29.7,40,111.7,85,61.3%,14,17.1%,21,19.6%,8,10.8,0,141.4,1,68.9%,7,9.0%,91,17.1%,19,22.4
BKN,Kyrie Irving,Landry Shamet,Joe Harris,Jeff Green,DeAndre Jordan,111,24,-9.1,9,100.0,41,54.2%,9,18.0%,0,8.5%,83,23.8,59,109.1,58,52.9%,1,7.3%,75,20.3%,95,8.6
CHI,Coby White,Garrett Temple,Patrick Williams,Thaddeus Young,Nikola Vucevic,111,97,+35.0,98,140.5,72,58.8%,100,6.3%,92,32.8%,24,14.3,74,105.6,81,50.0%,22,11.1%,98,13.0%,22,21.3
DEN,Monte Morris,Will Barton,Michael Porter,Aaron Gordon,Nikola Jokic,110,42,+1.5,95,134.5,94,63.4%,51,13.6%,98,35.7%,90,25.8,4,133.0,4,64.0%,37,12.3%,24,27.7%,75,13.0
PHX,Chris Paul,Devin Booker,Cameron Johnson,Jae Crowder,Deandre Ayton,110,64,+7.8,78,122.7,48,55.2%,51,13.6%,94,34.0%,56,18.1,37,115.0,65,52.1%,24,11.2%,66,21.4%,4,27.7
LAC,Reggie Jackson,Terance Mann,Paul George,Marcus Morris,Ivica Zubac,110,23,-10.0,30,107.3,42,54.4%,51,13.6%,29,21.4%,0,5.8,29,117.3,20,59.0%,44,12.7%,38,25.5%,88,11.0
HOU,Eric Gordon,David Nwaba,Danuel House,Sterling Brown,Jae'Sean Tate,110,32,-5.0,32,108.2,8,48.0%,96,9.1%,52,25.0%,75,21.8,43,113.2,44,54.6%,80,15.8%,6,33.3%,10,24.5
BKN,Kyrie Irving,Joe Harris,Kevin Durant,Jeff Green,DeAndre Jordan,110,10,-18.3,34,109.1,70,58.7%,64,12.7%,1,11.1%,17,13.0,7,127.4,25,58.0%,12,9.4%,14,29.1%,86,11.3
MIA,Victor Oladipo,Duncan Robinson,Jimmy Butler,Trevor Ariza,Bam Adebayo,109,80,+14.6,35,109.2,56,56.3%,18,16.5%,18,19.1%,84,24.1,94,94.5,67,51.8%,100,25.5%,50,23.9%,35,18.8
IND,Caris LeVert,Justin Holiday,Doug McDermott,Oshae Brissett,Domantas Sabonis,109,59,+6.4,57,116.5,80,60.0%,73,11.9%,5,14.6%,20,13.7,55,110.1,71,51.4%,56,13.8%,6,33.3%,81,12.4
CHI,Coby White,Zach LaVine,Patrick Williams,Lauri Markkanen,Daniel Gafford,108,1,-45.4,1,88.0,11,48.8%,6,18.5%,8,16.7%,28,15.5,4,133.3,4,64.2%,22,11.1%,10,30.4%,77,12.7
MEM,Ja Morant,De'Anthony Melton,Dillon Brooks,Kyle Anderson,Jonas Valanciunas,108,81,+15.3,81,123.1,54,56.1%,60,13.0%,94,34.0%,82,23.5,64,107.8,28,56.9%,95,19.6%,100,9.3%,5,27.5
DEN,Jamal Murray,Gary Harris,Michael Porter,Paul Millsap,Nikola Jokic,108,13,-15.5,39,111.1,93,62.9%,6,18.5%,30,21.7%,3,9.0,8,126.6,3,65.3%,89,17.4%,72,20.9%,6,26.1
ORL,Cole Anthony,Evan Fournier,James Ennis,Gary Clark,Nikola Vucevic,108,49,+4.0,72,120.4,72,58.8%,46,13.9%,28,21.3%,50,17.5,32,116.3,50,53.7%,27,11.5%,77,19.6%,27,20.0
CHA,LaMelo Ball,Terry Rozier,Gordon Hayward,Miles Bridges,PJ Washington,108,52,+4.7,89,127.8,93,63.3%,60,13.0%,18,19.1%,37,16.3,14,123.1,51,53.6%,18,10.6%,14,29.1%,10,24.7
NYK,Immanuel Quickley,Alec Burks,RJ Barrett,Julius Randle,Taj Gibson,108,67,+8.2,68,119.4,6,47.2%,99,7.4%,81,30.6%,89,25.0,50,111.2,48,53.8%,72,15.0%,92,17.0%,16,23.1
BKN,James Harden,Kyrie Irving,Joe Harris,Bruce Brown,Jeff Green,108,5,-23.6,13,100.9,45,54.8%,24,15.7%,13,17.8%,73,21.7,10,124.5,3,64.9%,98,20.8%,4,34.9%,90,10.6
BKN,James Harden,Kyrie Irving,Joe Harris,Kevin Durant,DeAndre Jordan,107,88,+20.6,73,120.6,84,60.9%,23,15.9%,44,23.8%,94,28.7,88,100.0,77,50.5%,16,10.3%,93,16.1%,91,10.4
LAC,Patrick Beverley,Paul George,Kawhi Leonard,Marcus Morris,Ivica Zubac,107,91,+24.3,87,127.1,96,64.7%,33,15.0%,72,28.9%,20,13.7,83,102.8,74,51.0%,11,9.3%,73,20.8%,85,11.3
POR,Damian Lillard,Gary Trent Jr.,Nassir Little,Carmelo Anthony,Enes Kanter,107,34,-4.1,69,119.6,31,52.5%,80,11.2%,89,32.1%,75,21.8,13,123.8,7,62.5%,7,8.9%,94,16.0%,89,10.9
PHI,Ben Simmons,Shake Milton,Seth Curry,Tobias Harris,Joel Embiid,106,100,+54.6,99,141.5,97,65.1%,43,14.2%,99,40.9%,93,28.1,99,86.9,96,44.5%,96,19.6%,98,13.2%,12,24.4
ORL,Dwayne Bacon,Terrence Ross,Gary Clark,Aaron Gordon,Khem Birch,105,85,+17.1,52,115.2,8,47.9%,31,15.2%,98,37.3%,96,28.9,92,98.1,85,49.5%,63,14.2%,64,21.8%,76,12.9
MIN,Ricky Rubio,Anthony Edwards,Jaden McDaniels,Jarred Vanderbilt,Karl-Anthony Towns,105,8,-21.2,9,100.0,14,49.5%,31,15.2%,80,30.4%,6,10.2,19,121.2,10,61.6%,40,12.5%,37,25.5%,93,9.5
NOP,Eric Bledsoe,JJ Redick,Josh Hart,Zion Williamson,Jaxson Hayes,105,46,+2.3,42,112.4,35,53.0%,68,12.4%,70,28.3%,99,34.5,55,110.1,26,57.7%,92,18.2%,93,16.3%,7,25.6
NYK,Alec Burks,Reggie Bullock,RJ Barrett,Julius Randle,Nerlens Noel,105,62,+7.2,45,113.3,56,56.3%,68,12.4%,19,19.2%,84,24.1,70,106.1,73,51.2%,95,19.4%,53,23.5%,22,21.4
MEM,Ja Morant,Dillon Brooks,Kyle Anderson,Jaren Jackson,Jonas Valanciunas,104,87,+19.3,73,121.2,62,57.3%,78,11.5%,91,32.7%,39,16.7,86,101.9,97,43.1%,37,12.3%,1,39.2%,76,12.8
LAL,Dennis Schroder,Kentavious Caldwell-Pope,Kyle Kuzma,Anthony Davis,Andre Drummond,104,63,+7.7,67,119.2,51,55.6%,86,10.6%,63,26.9%,22,14.1,49,111.5,61,52.7%,13,9.6%,84,18.4%,23,20.7
GSW,Stephen Curry,Kent Bazemore,Andrew Wiggins,Draymond Green,James Wiseman,104,22,-10.6,28,106.7,29,52.2%,65,12.5%,66,27.5%,35,16.1,28,117.3,19,59.3%,66,14.4%,79,19.5%,11,24.4
ATL,Trae Young,Kevin Huerter,Solomon Hill,John Collins,Clint Capela,104,70,+9.4,95,134.6,79,59.8%,99,6.7%,97,35.3%,87,24.7,10,125.2,17,59.5%,13,9.7%,59,22.4%,92,10.0
MIL,D.J. Augustin,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,Bobby Portis,104,98,+39.6,100,145.2,98,66.8%,78,11.5%,71,28.6%,70,20.4,73,105.6,57,52.9%,62,14.0%,88,17.8%,8,25.6
CLE,Collin Sexton,Isaac Okoro,Cedi Osman,Larry Nance Jr.,Andre Drummond,103,4,-26.2,9,100.0,20,50.6%,11,17.5%,23,20.4%,58,18.4,9,126.2,0,69.0%,92,18.4%,76,20.0%,6,26.6
IND,TJ McConnell,Aaron Holiday,Jeremy Lamb,Doug McDermott,Goga Bitadze,103,3,-28.6,6,95.1,13,49.4%,53,13.6%,46,24.0%,5,10.0,13,123.8,55,53.0%,20,10.9%,1,38.6%,27,20.2
OKC,Theo Maledon,Sviatoslav Mykhailiuk,Aleksej Pokusevski,Isaiah Roby,Moses Brown,103,0,-70.3,0,69.9,0,35.3%,1,21.4%,31,22.0%,76,21.8,0,140.2,0,71.1%,0,5.9%,100,7.9%,100,5.2
CHA,Devonte' Graham,Terry Rozier,Gordon Hayward,PJ Washington,Cody Zeller,102,70,+9.5,85,125.5,49,55.4%,85,10.8%,96,35.1%,30,15.7,33,116.0,26,57.6%,82,16.0%,20,28.3%,83,12.0
MIL,Bryn Forbes,Donte DiVincenzo,Pat Connaughton,Giannis Antetokounmpo,Brook Lopez,102,54,+5.2,82,123.5,91,62.6%,62,12.7%,52,25.0%,18,13.2,25,118.4,38,55.4%,9,9.2%,49,24.0%,59,15.2
LAL,Dennis Schroder,Kentavious Caldwell-Pope,Kyle Kuzma,Markieff Morris,Montrezl Harrell,102,63,+7.7,50,114.7,5,46.5%,85,10.8%,97,35.5%,93,26.3,67,107.0,77,50.6%,32,12.0%,89,17.6%,32,19.1
MIL,Donte DiVincenzo,Pat Connaughton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,102,17,-12.5,15,102.0,20,50.6%,17,16.7%,21,19.6%,31,15.7,39,114.4,70,51.5%,6,8.7%,34,25.9%,44,17.2
NYK,Elfrid Payton,Austin Rivers,RJ Barrett,Julius Randle,Mitchell Robinson,102,9,-19.3,5,94.1,0,40.0%,62,12.7%,66,27.5%,34,16.0,41,113.5,37,55.7%,54,13.5%,77,19.6%,85,11.5
DET,Delon Wright,Saddiq Bey,Josh Jackson,Jerami Grant,Mason Plumlee,102,86,+17.3,96,137.3,95,63.6%,62,12.7%,70,28.3%,98,33.0,22,120.0,13,60.2%,83,16.2%,9,31.1%,18,22.7
MIN,D'Angelo Russell,Jarrett Culver,Malik Beasley,Juan Hernangomez,Ed Davis,102,21,-11.0,32,107.8,30,52.2%,50,13.7%,63,26.9%,62,19.1,24,118.8,39,55.2%,20,10.9%,68,21.3%,4,27.6
ATL,Trae Young,Bogdan Bogdanovic,Tony Snell,Danilo Gallinari,Clint Capela,102,65,+7.8,28,106.9,30,52.4%,75,11.8%,3,13.0%,87,24.7,89,99.0,94,45.6%,56,13.7%,80,19.3%,30,19.8
TOR,Malachi Flynn,Gary Trent Jr.,OG Anunoby,Pascal Siakam,Chris Boucher,102,90,+22.7,91,128.4,79,59.9%,75,11.8%,34,22.4%,39,16.7,72,105.7,81,50.0%,83,16.2%,23,27.8%,23,20.7
DET,Delon Wright,Josh Jackson,Jerami Grant,Blake Griffin,Mason Plumlee,101,53,+5.0,19,104.0,6,47.3%,73,11.9%,49,24.6%,56,18.1,89,99.0,32,56.5%,100,24.7%,40,25.0%,75,13.0
MIN,Ricky Rubio,Malik Beasley,Josh Okogie,Jarred Vanderbilt,Naz Reid,101,26,-7.8,17,103.0,4,45.2%,48,13.9%,99,38.2%,79,22.6,52,110.8,39,55.1%,93,18.6%,3,35.4%,38,18.2
MIA,Goran Dragic,Kendrick Nunn,Duncan Robinson,Andre Iguodala,Bam Adebayo,100,61,+6.9,70,120.0,58,56.5%,16,17.0%,23,20.5%,96,29.8,44,113.1,53,53.4%,49,13.1%,49,24.0%,25,20.5
DET,Cory Joseph,Saddiq Bey,Josh Jackson,Jerami Grant,Mason Plumlee,100,35,-3.3,70,120.0,48,55.2%,89,10.0%,34,22.4%,94,28.7,13,123.3,14,60.1%,6,8.7%,68,21.3%,61,14.9
SAS,Patty Mills,Lonnie Walker,Keldon Johnson,DeMar DeRozan,LaMarcus Aldridge,100,38,-1.4,29,107.0,19,50.6%,89,10.0%,7,15.7%,53,17.8,61,108.4,89,48.4%,6,8.4%,83,18.5%,70,14.0
PHI,Tyrese Maxey,Shake Milton,Matisse Thybulle,Furkan Korkmaz,Dwight Howard,100,51,+4.3,34,109.0,11,48.9%,45,14.0%,96,35.1%,71,20.4,77,104.7,81,50.0%,87,16.8%,8,31.2%,11,24.4
MIN,D'Angelo Russell,Anthony Edwards,Malik Beasley,Josh Okogie,Ed Davis,100,32,-4.8,43,113.0,27,51.6%,83,11.0%,27,21.1%,32,15.8,27,117.8,9,61.7%,90,17.8%,31,26.5%,1,31.2
IND,Malcolm Brogdon,Caris LeVert,Edmond Sumner,JaKarr Sampson,Oshae Brissett,100,21,-11.0,29,107.0,9,48.4%,59,13.0%,61,26.4%,64,19.6,26,118.0,74,51.0%,0,7.0%,31,26.4%,30,19.6
BKN,James Harden,Joe Harris,Kevin Durant,Jeff Green,DeAndre Jordan,100,61,+6.9,55,116.0,100,67.8%,4,19.0%,8,16.1%,45,17.1,59,109.1,59,52.8%,1,7.1%,94,16.0%,54,15.7
LAL,Kentavious Caldwell-Pope,Wesley Matthews,LeBron James,Kyle Kuzma,Marc Gasol,100,45,+2.0,13,101.0,38,53.5%,4,19.0%,31,22.0%,11,11.8,90,99.0,91,47.6%,55,13.5%,84,18.4%,49,16.5
