team,year,gini_coefficient,top_1_share,top_3_share,top_5_share,salary_mean,salary_std,salary_cv,num_players
DEN,2024,-1.1604879342902497,0.26762210922942475,0.6454970610578554,0.8533281861882013,11859346.533333333,14626406.985941606,1.2333231805673974,15
DET,2024,-4.652671417655669,0.14608310289447662,0.3731518356053316,0.5126689301373033,4872121.857142857,5166393.124028474,1.0603989956561113,28
GSW,2024,-1.8099834446738632,0.25102468984131,0.6089267770693522,0.8344995668974832,13787651.733333332,16231976.764317509,1.177283635985287,15
HOU,2024,-0.8750645579898026,0.26635103893732315,0.4962892291234515,0.6235140926476146,9012056.411764706,9435551.686351405,1.046992079858028,17
IND,2024,-2.7439773026591423,0.2602786624231712,0.4987944631831509,0.6061446107459566,6066159.958333333,8130262.475891545,1.3402650987998874,24
LAC,2024,-1.9813218973610405,0.22813105105065176,0.6346108457070916,0.7796392461962128,12503800.9375,15182563.598574005,1.2142358691140196,16
LAL,2024,-0.9939091695853177,0.283184949087876,0.6276403692865907,0.7927419886735895,11207598.933333334,13933360.376591364,1.2432065475818506,15
MEM,2024,-1.951146601113654,0.21104142364835293,0.49612625314349645,0.6653282603415169,4131556.128205128,7468839.274486218,1.8077545222000664,39
MIA,2024,-1.3100123353385758,0.258643606334008,0.5998083571908001,0.8365582585851276,10918489.5,13459094.30567691,1.2326883041538768,16
MIL,2024,-1.2846177855380838,0.25045787225673266,0.6618197486985845,0.863276725970672,12148439.333333334,15689966.860387271,1.2915211929598698,15
MIN,2024,-1.6113871852754258,0.24934806276533486,0.61653558732954,0.7776096739361135,9134932.722222222,12147784.465151444,1.3298165224140037,18
NOP,2024,-1.6127991002545015,0.21706663944022253,0.6283653065701753,0.7947927061059454,9163204.722222222,12115742.939294828,1.3222167687591038,18
NYK,2024,4.829004578870472,0.17031345072772971,0.44995684795000673,0.6570627641673795,6905620.166666667,8788937.004018709,1.2727223322306063,24
OKC,2024,-2.2879615785218044,0.20801425122399028,0.5144227756161492,0.6743190091406871,7642985.952380952,9351810.87166969,1.2235808007414173,21
ORL,2024,-1.8825099200688356,0.13286070656743987,0.36231267394396677,0.5502119208444315,8730948.6,4724196.796655883,0.541086314109773,15
PHI,2024,-3.289055230280735,0.2855266588878262,0.6400723172948841,0.7804333408408454,7939772.333333333,12589663.156027224,1.585645359524023,21
PHO,2024,-2.967760878962417,0.24904145729317545,0.6815779918614374,0.8194278679786936,10629518.277777778,15387994.802050529,1.447666244125182,18
POR,2024,-5.491442177474081,0.19563324452679853,0.5071894021213749,0.7125381269185959,7213906.391304348,9616403.705720227,1.3330369406112412,23
SAC,2024,-1.8892004737105714,0.21734307908573403,0.5346900583391753,0.7054672217572022,7142550.0,9257959.237077061,1.2961700285020141,21
SAS,2024,-1.0945696748245326,0.14193599648884409,0.3497087139802457,0.5137447128663888,6709932.476190476,5234680.171634409,0.7801390237843895,21
TOR,2024,-6.1059607494500465,0.14807822119509823,0.4106887150693015,0.6466573071165077,6720527.166666667,8041615.040615984,1.1965750366283494,24
UTA,2024,-0.7960727358032668,0.19261552808009827,0.5028422876370096,0.7178054660699081,7308745.0,7842471.903992445,1.0730257936201695,18
WAS,2024,-3.0817126062828466,0.1851552009655703,0.4519976496014508,0.6175326767367711,6178455.708333333,7400467.0178841725,1.197785881656904,24
ATL,2025,-1.4388040317134498,0.25556231270199675,0.4864706196765201,0.6442614445538521,9354522.222222222,10124603.341802496,1.082321801294234,18
BOS,2025,-1.4544179674155102,0.2544928664929268,0.5898890989270692,0.8450746112801683,12889896.333333334,15202614.520241795,1.179421007516388,15
BRK,2025,-1.6457857505853362,0.23102201910134226,0.5256063497164573,0.7476188704525463,9440197.555555556,11026215.538838666,1.1680068636222278,18
CHO,2025,-24.222143731801896,0.20992873126533754,0.4804935969377677,0.6338745329911479,6439364.846153846,8595352.117400335,1.3348136536376307,26
CHI,2025,-0.8635011164370132,0.12895028508850148,0.35797721343587197,0.5603138076345211,9759962.0,6312343.347908418,0.6467590086834782,17
CLE,2025,-1.4092664221863718,0.21620851872397256,0.5524028876312386,0.7597006459427356,9991898.294117646,11647242.701562509,1.1656686606207136,17
DAL,2025,-1.501400517746183,0.24639589876978954,0.570631425492686,0.7353582827217039,10318028.88235294,12584304.865337346,1.2196423375845018,17
DEN,2025,-1.248243099452988,0.28161649134490796,0.6752980998449865,0.8490922285536167,12171621.0,15684391.184593545,1.2886033162381203,15
DET,2025,-0.9146435718717009,0.17887435580250566,0.3988417385113501,0.5890003837577258,7463590.52631579,6448141.084017792,0.8639462549938082,19
GSW,2025,-2.2528288064263142,0.3154255923605587,0.7278334110858942,0.8291480288816516,9821160.388888888,16110842.720203564,1.6404215064474938,18
HOU,2025,-1.29349110315696,0.2545525266256986,0.461629650686359,0.595789774950125,9351183.944444444,9559727.587596234,1.0223013090524955,18
IND,2025,2.6897649102259877,0.24931324829619042,0.616427899003934,0.7581489830201412,7689559.636363637,11998479.647703946,1.5603597884804208,22
LAC,2025,-1.4327141361251285,0.28822439752883977,0.5980597087681128,0.7679468507036655,10042379.647058824,12941882.782257088,1.2887266999557678,17
LAL,2025,-1.9386534193932714,0.25885744394361776,0.5777592062032532,0.7259724384605493,11073286.529411765,13782280.51377829,1.2446422728402415,17
MEM,2025,-2.2263625560788554,0.22412129866613675,0.5857787246756173,0.7383431970638247,8193257.45,10807396.14190098,1.3190597522235776,20
MIA,2025,-0.964432104980961,0.20133287906004346,0.5206891086700021,0.7768020798093587,11539211.466666667,11403928.41531675,0.9882762308550537,15
MIL,2025,-1.3069462348422385,0.26627726659822265,0.6660327721443181,0.8602147771721823,12214755.6,16183375.532809405,1.32490375270459,15
MIN,2025,-2.7169599934855055,0.21591591929640147,0.5866354478633726,0.7689334710548472,11940265.0,14173748.988913478,1.1870548089940616,17
NOP,2025,3.675400506356146,0.21435374508353855,0.5811879838068374,0.7911683035445333,7449220.260869565,11400145.08867228,1.5303809914920563,23
NYK,2025,-2.7527726758825732,0.26053748446006936,0.586689493202126,0.8061293865879284,10492369.5,14063309.703436935,1.3403368708504724,18
OKC,2025,-2.6462082788816454,0.21739581157831336,0.49929540258141214,0.6440177420933985,7854873.80952381,9338328.95367266,1.1888579218612276,21
ORL,2025,-0.5079913022522214,0.16626846698970368,0.40341385608777824,0.5637684862435922,10023949.2,6321952.1033905465,0.6306847707678473,15
PHI,2025,4.2332327094052085,0.30184186161979293,0.7970425168104475,0.8732603792446556,7097526.958333333,14776746.909784062,2.0819571375399173,24
PHO,2025,-3.9492897657208044,0.2387400339989478,0.7024668082962956,0.8190868751391861,12610078.823529411,17789612.117063586,1.410745512856714,17
POR,2025,-1.2332496538076998,0.2035179562829489,0.5367939740330963,0.7046923501884619,9828624.294117646,10344206.663533578,1.0524572263612215,17
SAC,2025,-2.2261635472419687,0.2639383391983018,0.6426700961074211,0.8045065202850448,8880052.52631579,13101953.630889036,1.4754365013114235,19
SAS,2025,-1.6456877211682426,0.21486452275998752,0.5129628700549496,0.7026751463418873,8536184.263157895,9815985.060090525,1.149926566423389,19
TOR,2025,-1.3438586309410256,0.21098069822612883,0.552467153848402,0.7342917186898015,6096732.392857143,9969791.45547244,1.63526801129617,28
UTA,2025,-1.6275515953819557,0.27331540875786386,0.5644749509542302,0.70747930476467,7715701.1,10152554.728158852,1.3158304859889989,20
WAS,2025,-4.2974517983094955,0.18277947859323598,0.4902722609411722,0.6840102831734657,7709240.2272727275,9335251.16348047,1.2109171446565457,22
